method,budget,n,accuracy,avg_tokens,token_efficiency,premature_stop_rate,overthink_rate
adaptive,48,2,0.0,8.0,0.1667,1.0,0.0
adaptive,256,110,0.2,101.8,0.3977,0.6273,0.1545
adaptive,512,155,0.3935,157.9,0.3085,0.5613,0.0258
adaptive,1024,144,0.4167,178.9,0.1747,0.5347,0.0208
bitcal_tts,48,2,0.0,8.0,0.1667,1.0,0.0
bitcal_tts,256,110,0.1727,109.7,0.4284,0.6455,0.1636
bitcal_tts,512,155,0.3871,175.2,0.3421,0.5484,0.0452
bitcal_tts,1024,144,0.4097,197.3,0.1927,0.5417,0.0208
fixed,32,2,0.0,32.0,1.0,0.0,1.0
fixed,48,2,0.0,48.0,1.0,0.0,1.0
fixed,64,3,0.0,64.0,1.0,0.0,1.0
fixed,256,110,0.4182,224.4,0.8766,0.0,0.4727
fixed,512,156,0.6859,338.4,0.661,0.0,0.0897
fixed,1024,144,0.6944,489.1,0.4777,0.0,0.0347
